ip,requests,error_requests,error_rate,unique_ports,ddos,port_scan,error_source
172.16.1.177,481,95,20,8,no,no,no
172.16.1.179,481,101,21,8,no,no,no
172.16.1.108,480,102,21,8,no,no,no
172.16.1.21,480,111,23,8,no,no,no
172.16.1.59,480,118,25,8,no,no,no
172.16.1.83,480,101,21,8,no,no,no
172.16.1.166,479,97,20,8,no,no,no
172.16.1.35,479,93,19,8,no,no,no
172.16.1.101,478,105,22,8,no,no,no
172.16.1.104,478,93,19,8,no,no,no
172.16.1.147,478,98,21,8,no,no,no
172.16.1.163,478,111,23,8,no,no,no
172.16.1.27,478,118,25,8,no,no,no
172.16.1.107,477,123,26,8,no,no,no
172.16.1.142,477,107,22,8,no,no,no
172.16.1.7,477,113,24,8,no,no,no
172.16.1.1,476,110,23,8,no,no,no
172.16.1.10,476,103,22,8,no,no,no
172.16.1.141,476,108,23,8,no,no,no
172.16.1.11,475,96,20,8,no,no,no
172.16.1.156,475,105,22,8,no,no,no
172.16.1.23,475,125,26,8,no,no,no
172.16.1.72,475,116,24,8,no,no,no
172.16.1.164,474,117,25,8,no,no,no
172.16.1.57,474,109,23,8,no,no,no
172.16.1.80,474,104,22,8,no,no,no
172.16.1.106,473,96,20,8,no,no,no
172.16.1.117,473,102,22,8,no,no,no
172.16.1.32,473,99,21,8,no,no,no
172.16.1.5,473,104,22,8,no,no,no
172.16.1.45,472,111,24,8,no,no,no
172.16.1.98,472,99,21,8,no,no,no
172.16.1.121,471,114,24,8,no,no,no
172.16.1.154,471,111,24,8,no,no,no
172.16.1.125,470,91,19,8,no,no,no
172.16.1.13,470,107,23,8,no,no,no
172.16.1.134,470,106,23,8,no,no,no
172.16.1.149,470,105,22,8,no,no,no
172.16.1.161,470,114,24,8,no,no,no
172.16.1.2,470,96,20,8,no,no,no
172.16.1.126,469,98,21,8,no,no,no
172.16.1.151,469,119,25,8,no,no,no
172.16.1.82,469,127,27,8,no,no,no
172.16.1.12,468,100,21,8,no,no,no
172.16.1.171,468,96,21,8,no,no,no
172.16.1.38,468,107,23,8,no,no,no
172.16.1.112,467,104,22,8,no,no,no
172.16.1.158,467,107,23,8,no,no,no
172.16.1.114,466,118,25,8,no,no,no
172.16.1.33,466,104,22,8,no,no,no
172.16.1.40,466,108,23,8,no,no,no
172.16.1.48,466,115,25,8,no,no,no
172.16.1.54,466,91,20,8,no,no,no
172.16.1.103,465,93,20,8,no,no,no
172.16.1.153,465,108,23,8,no,no,no
172.16.1.170,465,116,25,8,no,no,no
172.16.1.109,464,108,23,8,no,no,no
172.16.1.118,464,105,23,8,no,no,no
172.16.1.143,464,93,20,8,no,no,no
172.16.1.88,464,94,20,8,no,no,no
172.16.1.97,464,81,17,8,no,no,no
172.16.1.28,463,93,20,8,no,no,no
172.16.1.120,462,98,21,8,no,no,no
172.16.1.155,462,85,18,8,no,no,no
172.16.1.168,461,100,22,8,no,no,no
172.16.1.95,461,95,21,8,no,no,no
172.16.1.111,460,115,25,8,no,no,no
172.16.1.26,460,97,21,8,no,no,no
172.16.1.31,460,100,22,8,no,no,no
172.16.1.67,460,119,26,8,no,no,no
172.16.1.73,460,92,20,8,no,no,no
172.16.1.81,460,95,21,8,no,no,no
172.16.1.131,459,89,19,8,no,no,no
172.16.1.137,459,115,25,8,no,no,no
172.16.1.110,458,97,21,8,no,no,no
172.16.1.41,458,107,23,8,no,no,no
172.16.1.15,457,104,23,8,no,no,no
172.16.1.19,457,85,19,8,no,no,no
172.16.1.3,457,117,26,8,no,no,no
172.16.1.75,457,109,24,8,no,no,no
172.16.1.123,456,111,24,8,no,no,no
172.16.1.132,456,90,20,8,no,no,no
172.16.1.16,456,86,19,8,no,no,no
172.16.1.173,456,106,23,8,no,no,no
172.16.1.18,456,93,20,8,no,no,no
172.16.1.76,456,107,23,8,no,no,no
172.16.1.58,454,103,23,8,no,no,no
172.16.1.71,454,108,24,8,no,no,no
172.16.1.84,454,90,20,8,no,no,no
172.16.1.46,453,90,20,8,no,no,no
172.16.1.102,452,101,22,8,no,no,no
172.16.1.133,452,98,22,8,no,no,no
172.16.1.30,452,100,22,8,no,no,no
172.16.1.36,452,109,24,8,no,no,no
172.16.1.49,452,99,22,8,no,no,no
172.16.1.94,452,113,25,8,no,no,no
172.16.1.99,452,110,24,8,no,no,no
172.16.1.150,451,101,22,8,no,no,no
172.16.1.119,450,106,24,8,no,no,no
172.16.1.127,450,103,23,8,no,no,no
172.16.1.17,450,99,22,8,no,no,no
172.16.1.20,450,105,23,8,no,no,no
172.16.1.128,448,95,21,8,no,no,no
172.16.1.89,448,86,19,8,no,no,no
172.16.1.29,447,112,25,8,no,no,no
172.16.1.115,446,108,24,8,no,no,no
172.16.1.42,446,105,24,8,no,no,no
172.16.1.180,445,98,22,8,no,no,no
172.16.1.113,444,100,23,8,no,no,no
172.16.1.152,443,104,23,8,no,no,no
172.16.1.129,442,92,21,8,no,no,no
172.16.1.78,442,96,22,8,no,no,no
172.16.1.86,442,93,21,8,no,no,no
172.16.1.68,440,112,25,8,no,no,no
172.16.1.8,440,90,20,8,no,no,no
172.16.1.172,439,105,24,8,no,no,no
172.16.1.52,439,100,23,8,no,no,no
172.16.1.44,437,106,24,8,no,no,no
172.16.1.55,437,116,27,8,no,no,no
172.16.1.9,437,103,24,8,no,no,no
172.16.1.96,437,103,24,8,no,no,no
172.16.1.148,436,95,22,8,no,no,no
172.16.1.6,434,93,21,8,no,no,no
172.16.1.4,433,88,20,8,no,no,no
172.16.1.14,429,100,23,8,no,no,no
172.16.1.140,426,102,24,8,no,no,no
172.16.1.178,425,85,20,8,no,no,no
172.16.1.176,420,99,24,8,no,no,no
172.16.1.160,411,89,22,8,no,no,no
