ip,requests,error_requests,error_rate,unique_ports,ddos,port_scan,error_source
192.168.1.58,563,0,0,3,no,no,no
192.168.1.6,563,0,0,3,no,no,no
192.168.1.62,563,0,0,3,no,no,no
192.168.1.64,563,0,0,3,no,no,no
192.168.1.65,563,0,0,3,no,no,no
192.168.1.67,563,0,0,3,no,no,no
192.168.1.68,563,0,0,3,no,no,no
192.168.1.69,563,0,0,3,no,no,no
192.168.1.72,563,0,0,3,no,no,no
192.168.1.75,563,0,0,3,no,no,no
192.168.1.77,563,0,0,3,no,no,no
192.168.1.78,563,0,0,3,no,no,no
192.168.1.8,563,0,0,3,no,no,no
192.168.1.81,563,0,0,3,no,no,no
192.168.1.84,563,0,0,3,no,no,no
192.168.1.86,563,0,0,3,no,no,no
192.168.1.88,563,0,0,3,no,no,no
192.168.1.91,563,0,0,3,no,no,no
192.168.1.92,563,0,0,3,no,no,no
192.168.1.93,563,0,0,3,no,no,no
192.168.1.94,563,0,0,3,no,no,no
192.168.1.99,563,0,0,3,no,no,no
192.168.1.102,562,0,0,3,no,no,no
192.168.1.104,562,0,0,3,no,no,no
192.168.1.106,562,0,0,3,no,no,no
192.168.1.108,562,0,0,3,no,no,no
192.168.1.111,562,0,0,3,no,no,no
192.168.1.114,562,0,0,3,no,no,no
192.168.1.115,562,0,0,3,no,no,no
192.168.1.119,562,0,0,3,no,no,no
192.168.1.12,562,0,0,3,no,no,no
192.168.1.121,562,0,0,3,no,no,no
192.168.1.124,562,0,0,3,no,no,no
192.168.1.125,562,0,0,3,no,no,no
192.168.1.128,562,0,0,3,no,no,no
192.168.1.13,562,0,0,3,no,no,no
192.168.1.130,562,0,0,3,no,no,no
192.168.1.133,562,0,0,3,no,no,no
192.168.1.135,562,0,0,3,no,no,no
192.168.1.137,562,0,0,3,no,no,no
192.168.1.138,562,0,0,3,no,no,no
192.168.1.142,562,0,0,3,no,no,no
192.168.1.146,562,0,0,3,no,no,no
192.168.1.147,562,0,0,3,no,no,no
192.168.1.148,562,0,0,3,no,no,no
192.168.1.154,562,0,0,3,no,no,no
192.168.1.156,562,0,0,3,no,no,no
192.168.1.157,562,0,0,3,no,no,no
192.168.1.160,562,0,0,3,no,no,no
192.168.1.162,562,0,0,3,no,no,no
192.168.1.164,562,0,0,3,no,no,no
192.168.1.166,562,0,0,3,no,no,no
192.168.1.169,562,0,0,3,no,no,no
192.168.1.172,562,0,0,3,no,no,no
192.168.1.173,562,0,0,3,no,no,no
192.168.1.174,562,0,0,3,no,no,no
192.168.1.179,562,0,0,3,no,no,no
192.168.1.180,562,0,0,3,no,no,no
192.168.1.181,562,0,0,3,no,no,no
192.168.1.185,562,0,0,3,no,no,no
192.168.1.191,562,0,0,3,no,no,no
192.168.1.192,562,0,0,3,no,no,no
192.168.1.199,562,0,0,3,no,no,no
192.168.1.2,562,0,0,3,no,no,no
192.168.1.206,562,0,0,3,no,no,no
192.168.1.207,562,0,0,3,no,no,no
192.168.1.211,562,0,0,3,no,no,no
192.168.1.212,562,0,0,3,no,no,no
192.168.1.214,562,0,0,3,no,no,no
192.168.1.215,562,0,0,3,no,no,no
192.168.1.219,562,0,0,3,no,no,no
192.168.1.22,562,0,0,3,no,no,no
192.168.1.220,562,0,0,3,no,no,no
192.168.1.23,562,0,0,3,no,no,no
192.168.1.24,562,0,0,3,no,no,no
192.168.1.28,562,0,0,3,no,no,no
192.168.1.29,562,0,0,3,no,no,no
192.168.1.37,562,0,0,3,no,no,no
192.168.1.38,562,0,0,3,no,no,no
192.168.1.4,562,0,0,3,no,no,no
192.168.1.44,562,0,0,3,no,no,no
192.168.1.49,562,0,0,3,no,no,no
192.168.1.51,562,0,0,3,no,no,no
192.168.1.52,562,0,0,3,no,no,no
192.168.1.53,562,0,0,3,no,no,no
192.168.1.60,562,0,0,3,no,no,no
192.168.1.61,562,0,0,3,no,no,no
192.168.1.63,562,0,0,3,no,no,no
192.168.1.66,562,0,0,3,no,no,no
192.168.1.70,562,0,0,3,no,no,no
192.168.1.80,562,0,0,3,no,no,no
192.168.1.82,562,0,0,3,no,no,no
192.168.1.83,562,0,0,3,no,no,no
192.168.1.87,562,0,0,3,no,no,no
192.168.1.89,562,0,0,3,no,no,no
192.168.1.90,562,0,0,3,no,no,no
192.168.1.95,562,0,0,3,no,no,no
192.168.1.96,562,0,0,3,no,no,no
192.168.1.98,562,0,0,3,no,no,no
192.168.1.103,561,0,0,3,no,no,no
192.168.1.109,561,0,0,3,no,no,no
192.168.1.129,561,0,0,3,no,no,no
192.168.1.134,561,0,0,3,no,no,no
192.168.1.141,561,0,0,3,no,no,no
192.168.1.152,561,0,0,3,no,no,no
192.168.1.161,561,0,0,3,no,no,no
192.168.1.167,561,0,0,3,no,no,no
192.168.1.168,561,0,0,3,no,no,no
192.168.1.17,561,0,0,3,no,no,no
192.168.1.18,561,0,0,3,no,no,no
192.168.1.187,561,0,0,3,no,no,no
192.168.1.195,561,0,0,3,no,no,no
192.168.1.200,561,0,0,3,no,no,no
192.168.1.205,561,0,0,3,no,no,no
192.168.1.210,561,0,0,3,no,no,no
192.168.1.218,561,0,0,3,no,no,no
192.168.1.25,561,0,0,3,no,no,no
192.168.1.30,561,0,0,3,no,no,no
192.168.1.33,561,0,0,3,no,no,no
192.168.1.56,561,0,0,3,no,no,no
192.168.1.57,561,0,0,3,no,no,no
192.168.1.71,561,0,0,3,no,no,no
192.168.1.76,560,0,0,3,no,no,no
